Food_Code,Thai_Name,English_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
A121,หมี่ตะคุ/หมี่โคราช,"Noodles, rice, vermicelli, Thai Korat style (Meetaku/Meekorat)",18.30,4.80,6.00,393.00,0.00,1.30
T105,"เส้นเล็ก, เนื้อสด, น้ำ","Rice noodles, small size, with beef and soup",0.00,4.60,2.70,0.00,8.50,0.00
T154,"เส้นเล็ก, เป็ด, น้ำ","Rice noodles, small size, with duck and soup",0.00,4.56,5.15,0.00,0.00,0.00
T106,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, small size, with beef ball and soup",0.00,4.00,0.00,0.00,0.00,0.00
T107,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, เนื้อสด0เปื่อย, น้ำ","Rice noodles, small size, with beef ball, beef, stewed beef and soup",0.00,5.90,1.70,0.00,9.90,0.00
T110,"เส้นเล็ก, ลูกชิ้นเนื้อวัว, แห้ง","Rice noodles, small size, with beef ball (wihout soup)",0.00,5.50,6.70,0.00,17.60,0.00
T112,"เส้นหมี่, เนื้อเปื่อย,น้ำ","Rice noodles, fine thread, with stewed beef and soup",0.00,5.40,2.70,0.00,0.00,0.00
T113,"เส้นหมี่, เนื้อสด เปื่อย","Rice noodles, fine thread, with beef and stewed beef (wihout soup)",0.00,5.10,2.70,0.00,0.00,0.00
T115,"เส้นหมี่, เนื้อสด,น้ำ","Rice noodles, fine thread, with beef and soup",0.00,4.40,2.00,0.00,0.00,0.00
T312,"เส้นหมี่, ผัดซีอิ้ว","Fried rice noodles (fine thread) with pork, egg and soysauce",0.00,2.40,2.10,0.00,33.90,0.00
T122,"เส้นหมี่, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, fine thread, with beef ball and soup",0.00,3.16,1.26,49.00,0.00,0.70
T121,"เส้นหมี่, ลูกชิ้นเนื้อวัว, แห้ง","Rice noodles, fine thread, with beef ball (without soup)",0.00,5.87,8.11,0.00,21.70,0.00
A40,"เส้นหมี่, อบ / ตาก, แห้ง","Noodles, rice, vermicelli, dried",0.00,7.00,0.73,375.00,0.00,1.30
A87,"เส้นหมี่ขาว, ทอด","Noodles, rice, dried, deep fried",0.00,4.02,42.85,0.00,52.15,0.00
A88,เส้นหมี่ข้าวกล้อง,"Noodles, brown rice, vermicelli",0.00,7.90,3.03,369.00,0.00,3.70
T123,"เส้นใหญ่, ลูกชิ้นเนื้อวัว, น้ำ","Rice noodles, big size, with beef ball and soup",0.00,4.58,0.72,0.00,9.00,0.00
T131,หมี่กรอบ,"Meekrop (Rice noodles, deep fried, crispy)",0.00,2.90,29.40,0.00,0.00,0.00
T132,หมี่กะทิ,Meekathi (Rice noodles covered with tofu fried in coconut cream),0.00,3.90,6.60,0.00,0.00,0.00
A42,หมี่ซั่ว (แป้งสาลี 100%),"Noodles, wheat, dried, longevity (Meesua)",0.00,12.30,0.80,326.00,0.00,4.60
A43,"ก๋วยจั๊บ, เส้น, ต้มสุก","Pasta, Chinese, squares shape sheet, roled (kuay jap), boiled",0.00,1.67,0.08,133.00,0.00,0.40
