Food_Code,Thai_Name,English_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
C73,"มะม่วงหิมพานต์, เมล็ดแห้ง","Cashew nut, roasted",1.70,20.59,44.50,395.33,19.66,1.63
E78,มะยม,Star gooseberry (Mayom),0.00,0.70,0.70,0.00,6.30,0.00
E81,"มะละกอ, ค่อนข้างสุก","Papaya, nearly ripe",0.00,0.20,0.00,0.00,3.00,0.00
E87,"ละมุด, มะกอก","Sapodilla / Mimusops, Makok variety",0.00,0.20,0.20,0.00,8.00,0.00
E88,"ละมุด, สีดา","Sapodilla / Mimusops, seeda variety",0.00,1.00,1.00,0.00,28.60,0.00
E90,ลางสาด,Lancet / Langsium / Langsat,0.00,0.90,0.10,0.00,15.60,0.00
E98,ลำไย,Longan,0.00,1.75,0.16,0.00,12.38,0.73
E104,"ลิ้นจี่, แห้ว","Litchi / Lychee, Haew variety",0.00,1.10,0.00,0.00,21.90,0.00
E113,ลูกหว้า,Jambolan / Java plum,5.00,0.90,0.10,0.00,0.00,0.00
E148,สตรอเบอร์รี่,Strawberry,4.03,0.70,0.30,33.00,0.00,3.00
E114,ส้ม,"Orange, sweet",0.00,0.60,0.00,0.00,10.95,0.00
E139,"เสาวรส, ผล, เนื้อภายนอก","Passion fruit, outer layer",0.00,1.30,0.30,42.00,0.00,3.80
E169,"เสาวรส, แยม","Passion fruit, yam",0.00,0.70,3.20,0.00,0.00,0.90
E127,แห้ว,Water chestnut,0.00,1.20,0.10,0.00,21.30,0.00
E128,แห้วกระป๋อง,"Water chestnut, canned, drained",0.12,0.65,0.05,36.00,0.00,2.40
E29,แตงไทย,Musk melon (Tangthai),0.00,0.20,0.00,0.00,3.15,0.00
E15,"ขนุนละมุด, สุก","Jackfruit, Lamud variety, ripe",0.00,1.30,0.40,0.00,27.10,0.00
E76,"แคนตาลูป, เนื้อสีเขียว, สุก","Cantaloupe, green fresh, ripe",6.00,0.50,0.00,29.00,0.00,0.60
E84,ระกำ,Salak palm,0.00,0.50,0.10,0.00,14.30,0.00
C105,"ถั่วแระ, ต้ม","Soybean, young seeds, boiled",0.58,14.40,7.91,0.00,0.00,7.20
C107,"ถั่วลิสง, ต้ม, รวมเยื่อหุ้มเมล็ด","Peanut, boiled, with seed coat",1.00,1.40,3.20,0.00,0.00,6.20
C17,"ถั่วแดง, เมล็ดแห้ง, คั่ว","Rice bean (Tooa dang), seeds, roasted",0.00,24.39,1.87,0.00,0.00,26.60
C9,"ถั่วนางหอม, เมล็ดแห้ง, ปอกเปลือก","Sweet pea, mature seeds, dehulled, dried, raw",0.00,22.13,1.40,352.00,62.67,0.00
C24,"ถั่วเน่า, แห้ง","Soybean, fermented (Tooa nao), dried",0.00,45.09,24.83,0.00,0.00,18.40
C27,"ถั่วแปะยี, เมล็ดแห้ง","Hyacinth / lablab bean, mature seeds, roasted",0.00,26.05,9.15,410.00,55.85,0.00
C106,"ถั่วลิสง, คั่ว, ไม่รวมเยื่อหุ้มเมล็ด","Peanut, roasted, without seed coat",0.00,26.38,48.65,0.00,0.00,6.20
C30,"ถั่วเล็บมือนาง, เมล็ดแห้ง, คั่ว","Rice bean, mature seeds, roasted",0.00,20.40,1.30,359.00,66.40,0.00
C39,"ถั่วหรั่ง, ต้ม","Bambara groundnut, boiled",0.00,7.10,2.80,160.00,26.50,0.00
C110,"ถั่วเหลือง, ต้ม","Soybean, mature seeds, boiled",0.00,14.80,9.87,0.00,0.00,8.30
A16,"ข้าวโพดหวาน, เมล็ดสีเหลือง, ต้ม","Corn, sweet, whole kernel, yellow, boiled",6.83,2.80,5.30,107.00,0.00,3.30
A28,"ข้าวโพด, พันธุ์ข้าวเหนียว, ต้ม","Corn, whole kernel, waxy or sticky variety, boiled",1.65,4.62,4.00,161.00,0.00,3.70
