Food_Code,Thai_Name,English_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
T318,"เฉาก๊วย, สูตรต่างๆ",Grass jelly (Chao kuai),0.00,0.15,0.00,0.00,3.93,0.00
Q11,"น้ำกระเจี้ยบ, ต่อ 100 มล.","Drink, roselle, per 100 mL",13.29,0.04,0.03,60.00,0.00,0.10
Q43,"น้ำเก็กฮวย, ต่อ 100 มล.","Drink, chrysanthemum, per 100 mL",11.16,0.00,0.00,42.00,0.00,0.00
Q44,"น้ำขิง, ต่อ 100 มล.","Drink, ginger, per 100 mL",7.60,0.00,0.00,28.00,0.00,0.00
Q47,"น้ำฝรั่ง 100%, ต่อ 100 มล.","Juice, guava, 100%, per 100 mL",12.28,0.10,0.00,0.00,14.22,0.00
Q48,"น้ำฝรั่ง 25%, ต่อ 100 มล.","Juice, guava, 25%, per 100 mL",9.60,0.10,0.00,0.00,9.27,0.00
Q18,"น้ำมะเขือเทศ, ต่อ 100 มล.","Juice, tomato, per 100 mL",3.65,0.66,0.23,34.00,0.00,0.70
Q20,"น้ำมะพร้าว, ต่อ 100 มล.","Juice, coconut, per 100 mL",5.77,0.09,0.10,28.00,0.00,0.10
Q50,"น้ำมะม่วง, ต่อ 100 มล.","Juice, mango, per 100 mL",11.68,0.20,0.20,50.00,0.00,0.30
Q51,"น้ำมังคุด, ต่อ 100 มล.","Juice, mangoteen, per 100 mL",13.30,0.30,0.04,65.00,0.00,0.40
Q52,"น้ำรากบัว, ต่อ 100 มล.","Drink, lotus root, per 100 mL",8.90,0.00,0.00,0.00,9.30,0.00
Q24,"น้ำลิ้นจี่ 25%, ต่อ 100 มล.","Juice, lychee, 25%, per 100 mL",12.25,0.12,0.02,53.00,0.00,0.00
Q25,"น้ำว่านหางจระเข้, กระป๋อง, ต่อ 100 มล.","Drink, aloe vera, canned, per 100 mL",0.00,0.04,0.64,49.00,0.00,0.20
Q54,"น้ำสตรอเบอรี่ 25%, ต่อ 100 มล.","Juice, strawbery, 25%, per 100 mL",10.55,0.00,0.00,43.00,0.00,0.20
Q27,"น้ำส้ม 100%, ต่อ 100 มล.","Juice, orange, 100%, per 100 mL",12.16,0.68,0.09,57.00,0.00,0.40
Q57,"น้ำส้ม 15%, ต่อ 100 มล.","Juice, orange, 15%, per 100 mL",16.26,0.15,0.00,70.00,0.00,0.20
Q56,"น้ำส้ม 25%, ต่อ 100 มล.","Juice, orange, 25%, per 100 mL",10.51,0.10,0.00,39.00,0.00,0.40
Q55,"น้ำสับปะรด, ต่อ 100 มล.","Juice, pineapple, per 100 mL",13.38,0.30,0.00,71.00,0.00,0.70
Q31,"น้ำเสาวรส 25%, ต่อ 100 มล.","Juice, passion fruit, 25%, per 100 mL",11.47,0.21,0.03,59.00,0.00,0.10
Q34,"น้ำองุ่น 100%, ต่อ 100 มล.","Juice, grape, 100%, per 100 mL",13.45,0.20,0.00,69.00,0.00,0.00
Q59,"น้ำองุ่น 25%, ต่อ 100 มล.","Juice, grape, 25%, per 100 mL",12.70,0.00,0.00,51.00,0.00,0.20
Q35,"กาแฟปรุงสำเร็จรูป, ผง","Coffee, mixed 3 in 1, instant, powder",40.83,9.08,6.49,389.00,0.00,4.50
